schema_version,finding_id,run_id,rule_id,category,severity,source_marker,sink_kind,sink_value,evidence_seq_start,evidence_seq_end,summary
1,finding:v1:000d3f0eab551dab2169744a9229014303d59e18516557e00099f283736c1696,run_575189866600b681e65e8317,behavior.process_injection_or_memory_execution,behavioral,critical,skill,process-memory,addr trace.Pointer 0x7faef6683000 length uint64 77824 prot string PROT_READ|PROT_EXEC flags int32 2066 fd int32 3 off int64 12288 6 9068 9fce26577564cb40737c1ef84d9f12ee65aa2f5676324f4aa0a8c97abf1c3976 skillsissue-sandbox:local skillsissue-target-run_575189866600b681e65e8317 9fce26577564cb40737c1ef84d9f12ee65aa2f5676324f4aa0a8c97abf1c3976 9 mmap  9fce26577564 21299 21300 21300 skillsissue-detonation 4026532401 3127215321 63 4026532404 1430027043 64 python 1 140389435060224 detonation mmap 1430027043 64 1785489242524662474 1785489242525504453 65532,447,447,"Observed process injection, executable anonymous memory, or memory-resident execution"
1,finding:v1:001563b4d3be25d11bae0a2fd5c2c87e3c41b0e679c919c1a4a41c58e253f7b2,run_568975f41c6c610c56857c34,behavior.process_injection_or_memory_execution,behavioral,critical,skill,process-memory,addr trace.Pointer 0x7f82ef293000 length uint64 1400832 prot string PROT_READ|PROT_EXEC flags int32 2066 fd int32 3 off int64 155648 6 9043 474188aa7d8d4c4423041f49cf32629852efc39a048b3a8421ba69dc5717e043 skillsissue-sandbox:local skillsissue-target-run_568975f41c6c610c56857c34 474188aa7d8d4c4423041f49cf32629852efc39a048b3a8421ba69dc5717e043 9 mmap  474188aa7d8d 21481 21482 21482 skillsissue-detonation 4026532401 2577140007 80 4026532404 2917560309 81 python 3 140200334929920 detonation mmap 2917560309 81 1785490442568299751 1785490442569562363 65532,2293,2293,"Observed process injection, executable anonymous memory, or memory-resident execution"
1,finding:v1:0019d31353a54924a0f0f2fe90e0ec53f2354cc5a5cc6a0b72ceb87137137495,run_010950d84b24536b96dd4893,behavior.process_injection_or_memory_execution,behavioral,critical,skill,process-memory,addr trace.Pointer 0x7efd73f90000 length uint64 53248 prot string PROT_READ|PROT_EXEC flags int32 2066 fd int32 3 off int64 8192 6 8957 b4865856526a6c2ea24f14d20708e9e4ca631dba434859646ddfa49f8b48e321 skillsissue-sandbox:local skillsissue-target-run_010950d84b24536b96dd4893 b4865856526a6c2ea24f14d20708e9e4ca631dba434859646ddfa49f8b48e321 9 mmap  b4865856526a 21562 21563 21563 skillsissue-detonation 4026532401 945518505 71 4026532404 1735023708 72 pip 2 139627037523968 detonation mmap 1735023708 72 1785511571304171237 1785511571357432870 65532,1187,1187,"Observed process injection, executable anonymous memory, or memory-resident execution"
1,finding:v1:00bbd514f97aa1d022f64097154ce9b88ce0d5c9b4aacb8dd6db6165d55b5da9,run_575189866600b681e65e8317,behavior.process_injection_or_memory_execution,behavioral,critical,skill,process-memory,addr trace.Pointer 0x7fc45a50e000 length uint64 77824 prot string PROT_READ|PROT_EXEC flags int32 2066 fd int32 3 off int64 12288 6 9068 9fce26577564cb40737c1ef84d9f12ee65aa2f5676324f4aa0a8c97abf1c3976 skillsissue-sandbox:local skillsissue-target-run_575189866600b681e65e8317 9fce26577564cb40737c1ef84d9f12ee65aa2f5676324f4aa0a8c97abf1c3976 9 mmap  9fce26577564 21315 21316 21316 skillsissue-detonation 4026532401 3676498006 79 4026532404 1226702099 80 python 0 140481305567232 detonation mmap 1226702099 80 1785489243334202495 1785489243334921969 65532,2071,2071,"Observed process injection, executable anonymous memory, or memory-resident execution"
1,finding:v1:00c6ba17365cd65e94e8c1fa58f7ad193aebbed6fa338b7d45a421f3460813cf,run_42e4fb13d804a8370305279d,behavior.process_injection_or_memory_execution,behavioral,critical,skill,process-memory,addr trace.Pointer 0x7f05bb5a4000 length uint64 16384 prot string PROT_READ|PROT_EXEC flags int32 2066 fd int32 3 off int64 12288 6 9007 3fb95fa5199a7f957ad4da3a7d42f9e51fca876986f82cf5d77bb44e00ec7a00 skillsissue-sandbox:local skillsissue-target-run_42e4fb13d804a8370305279d 3fb95fa5199a7f957ad4da3a7d42f9e51fca876986f82cf5d77bb44e00ec7a00 9 mmap  3fb95fa5199a 20625 21253 21253 skillsissue-detonation 4026532310 457029721 1 4026532403 2510138771 61 python3 0 139662594818048 detonation mmap 2510138771 61 1785511566054205260 1785511566093394182 65532,938,938,"Observed process injection, executable anonymous memory, or memory-resident execution"
1,finding:v1:010fa9fc2ce03dfccc619792f29d2290508dbd1b2159b21151d91ef7d7abbac0,run_fb22e62294c823259beace36,behavior.process_injection_or_memory_execution,behavioral,critical,skill,process-memory,addr trace.Pointer 0x7f321eb03000 length uint64 1400832 prot string PROT_READ|PROT_EXEC flags int32 2066 fd int32 3 off int64 155648 6 9559 81137a97f281397b6661b34a32dc7b52d8c371144e5c82ba77fbd354ed85e480 skillsissue-sandbox:local skillsissue-target-run_fb22e62294c823259beace36 81137a97f281397b6661b34a32dc7b52d8c371144e5c82ba77fbd354ed85e480 9 mmap  81137a97f281 23071 23642 23642 skillsissue-detonation 4026532401 3690259274 1 4026532405 1020078630 65 sh 1 139853239955456 detonation mmap 1020078630 65 1785511607655396087 1785511607656381645 65532,534,534,"Observed process injection, executable anonymous memory, or memory-resident execution"
1,finding:v1:011a88c921d6a351f67b4842d792bd963f3df989d050aef4abd2dc11deaf3a08,run_66e83be9ddc6619fedbbb470,behavior.process_injection_or_memory_execution,behavioral,critical,skill,process-memory,addr trace.Pointer 0x7ff0b6cb8000 length uint64 110592 prot string PROT_READ|PROT_EXEC flags int32 2066 fd int32 3 off int64 28672 6 9584 07caffc0c123bc44705d8b81b3f74f07af8bc3cb2daef881a3cbabff30832b53 skillsissue-sandbox:local skillsissue-target-run_66e83be9ddc6619fedbbb470 07caffc0c123bc44705d8b81b3f74f07af8bc3cb2daef881a3cbabff30832b53 9 mmap  07caffc0c123 23752 23755 23755 skillsissue-detonation 4026532400 1166859791 65 4026532403 2916815430 68 sed 0 140671835668480 detonation mmap 2916815430 68 1785511594431054890 1785511594432131886 65532,1070,1070,"Observed process injection, executable anonymous memory, or memory-resident execution"
1,finding:v1:012e8ba91f4dce37383879ca5dd4b6201ee5b40397b87a78e93123eb41a51067,run_9125d6c238131f78b7c58bd2,behavior.process_injection_or_memory_execution,behavioral,critical,skill,process-memory,/proc/meminfo,636,908,"Observed process injection, executable anonymous memory, or memory-resident execution"
1,finding:v1:01396c5790e13cf32ec45dea5ac6494e5e30a03aff450b80bdaae662a4f9e36b,run_62eca544fcc9067cda7b7a37,behavior.process_injection_or_memory_execution,behavioral,critical,skill,process-memory,addr trace.Pointer 0x7f05698ab000 length uint64 77824 prot string PROT_READ|PROT_EXEC flags int32 2066 fd int32 3 off int64 12288 6 9018 894ef5d139ecc8dacefcfcf38f28ceaf46fae169c712468ceedc939bafb093d3 skillsissue-sandbox:local skillsissue-target-run_62eca544fcc9067cda7b7a37 894ef5d139ecc8dacefcfcf38f28ceaf46fae169c712468ceedc939bafb093d3 9 mmap  894ef5d139ec 21323 21324 21324 skillsissue-detonation 4026532401 2285009212 70 4026532404 2180882354 71 python 1 139661222260736 detonation mmap 2180882354 71 1785506382193494891 1785506382194360099 65532,1265,1265,"Observed process injection, executable anonymous memory, or memory-resident execution"
1,finding:v1:013b6712fa39b75152e456d8924854c62fa3f72a70bd9a5deab1ce8fe7da4b96,run_67638929bad0d949aadfd143,behavior.process_injection_or_memory_execution,behavioral,critical,skill,process-memory,addr trace.Pointer 0x7fe59a7a0000 length uint64 16384 prot string PROT_READ|PROT_EXEC flags int32 2066 fd int32 3 off int64 12288 6 9018 05b258e08ae1afe3a4194303a41b1485938f0139eeae662f4ff4a5c811e524af skillsissue-sandbox:local skillsissue-target-run_67638929bad0d949aadfd143 05b258e08ae1afe3a4194303a41b1485938f0139eeae662f4ff4a5c811e524af 9 mmap  05b258e08ae1 20726 21352 21352 skillsissue-detonation 4026532401 2309558316 1 4026532404 2412807554 62 python3 0 140624115924992 detonation mmap 2412807554 62 1785511571410140201 1785511571443983720 65532,904,904,"Observed process injection, executable anonymous memory, or memory-resident execution"
